Description,Title,Distribution,Keyword,Publisher,Theme,Version Notes,Landing Page,Access Rights,Creator
A lightweight ontology developed based on data from Open Street Maps,OSM Lightweight Ontology,osm-lwo-owl,Geography,DataScientia Foundation,Upper Level,Version 1.0 - Unannotated,Unknown,Public,Xiaoyue Li
This ontology is a translation of the General Transit Feed Specification towards URIs. Its intended use is creating an exchange platform where the Linked GTFS model can be used as a start to get the right data into the right format,General Transit FeedSpecification,gtfs-owl,Travel,Unknown,Upper Level,2016: Fixed version history,https://raw.githubusercontent.com/OpenTransport/vocabulary/master/gtfs/gtfs.ttl, Public,Pieter Colpaert-Andrew Byrd
It is a collaborative community activity with a mission to create maintain and promote schemas for structured data on the Internet,Schema.org,Schema.org,Structured data,Community of people,Upper Level,14.0 17 marzo 2022,https://schema.org, Public,Community of people 
An ontology that connects individuals to their generic commitments,Person Life,,Person,Pasquali Thomas - Peiretti Riccardo,Purpose Level,dicembre 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset where there are some providers which supply a particual service,Provider,,Provider,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset where there are commitments of an user from a place to another,Shift,,Commitments,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset with elements referred to a person,End User,,Person,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset with the exception of something not conform to a schedule,Schedule Exception,,Schedule exception,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset about the weekly organized plan,Weekly Schedule,,Weekly schedule,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset where there are the routes regularly follower by a bus,Bus Route,,Bus route,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset where there are the routes regularly follower by a train,Train Route,,Train route,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset where there are all the important elements about a place as address-latitude-longitude,Position,,Latitude and longitude,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset where there are the informations about the middle/high-school and university of the autonomous province of Trento,Educational Facility,,Education,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset where we can find the places where a bus stop to discharge and take on passengers,Bus Stop,,Bus stop,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset where we can find the places where a train stop to discharge and take on passengers,Train Stop,,Train stop,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset which provides detailed information about travel routes,Journey,,Journey data,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo
A dataset which includes information about stops along travel routes,Journey Stop,,Journey stop data,Pasquali Thomas - Peiretti Riccardo,Purpose Level,december 2023,link GIT TOFIX,Public,Pasquali Thomas - Peiretti Riccardo

